time,               Tsurf,              Psurf,              PH2O,               PH2,                PCO,                PCH4                
0.000000e+00,       2.000000e+03,       2.673121e+02,       2.658262e+02,       2.602302e-01,       1.813410e-03,       5.268558e-15        
9.056117e+07,       1.990000e+03,       2.673121e+02,       2.658262e+02,       2.602302e-01,       1.813410e-03,       5.268558e-15        
1.819419e+08,       1.980000e+03,       2.673121e+02,       2.658488e+02,       2.479563e-01,       1.714502e-03,       4.612418e-15        
2.741545e+08,       1.970000e+03,       2.673121e+02,       2.658703e+02,       2.361874e-01,       1.620300e-03,       4.035364e-15        
3.672145e+08,       1.960000e+03,       2.673121e+02,       2.658909e+02,       2.249085e-01,       1.530635e-03,       3.528348e-15        
4.611378e+08,       1.950000e+03,       2.673121e+02,       2.659106e+02,       2.141048e-01,       1.445338e-03,       3.083290e-15        
5.559406e+08,       1.940000e+03,       2.673121e+02,       2.659295e+02,       2.037618e-01,       1.364246e-03,       2.692981e-15        
6.516397e+08,       1.930000e+03,       2.673121e+02,       2.659475e+02,       1.938653e-01,       1.287199e-03,       2.351003e-15        
7.482525e+08,       1.920000e+03,       2.673121e+02,       2.659646e+02,       1.844014e-01,       1.214043e-03,       2.051640e-15        
8.457966e+08,       1.910000e+03,       2.673121e+02,       2.659810e+02,       1.753565e-01,       1.144626e-03,       1.789817e-15        
9.442903e+08,       1.900000e+03,       2.673121e+02,       2.659966e+02,       1.667171e-01,       1.078799e-03,       1.561026e-15        
1.043752e+09,       1.890000e+03,       2.673121e+02,       2.660115e+02,       1.584704e-01,       1.016421e-03,       1.361270e-15        
1.144202e+09,       1.880000e+03,       2.673121e+02,       2.660257e+02,       1.506036e-01,       9.573507e-04,       1.187010e-15        
1.245660e+09,       1.870000e+03,       2.673121e+02,       2.660391e+02,       1.431043e-01,       9.014532e-04,       1.035115e-15        
1.348146e+09,       1.860000e+03,       2.673121e+02,       2.660519e+02,       1.359604e-01,       8.485968e-04,       9.028200e-16        
1.451681e+09,       1.850000e+03,       2.673121e+02,       2.660641e+02,       1.291600e-01,       7.986542e-04,       7.876848e-16        
1.556288e+09,       1.840000e+03,       2.673121e+02,       2.660757e+02,       1.226919e-01,       7.515017e-04,       6.875586e-16        
1.661989e+09,       1.830000e+03,       2.673121e+02,       2.660866e+02,       1.165447e-01,       7.070199e-04,       6.005484e-16        
1.768806e+09,       1.820000e+03,       2.673121e+02,       2.660970e+02,       1.107079e-01,       6.650931e-04,       5.249902e-16        
1.876765e+09,       1.810000e+03,       2.673121e+02,       2.661069e+02,       1.051708e-01,       6.256097e-04,       4.594229e-16        
1.985889e+09,       1.800000e+03,       2.673121e+02,       2.661162e+02,       9.992351e-02,       5.884620e-04,       4.025654e-16        
2.096205e+09,       1.790000e+03,       2.673121e+02,       2.661250e+02,       9.495619e-02,       5.535462e-04,       3.532957e-16        
2.207739e+09,       1.780000e+03,       2.673121e+02,       2.661333e+02,       9.025948e-02,       5.207622e-04,       3.106329e-16        
2.320517e+09,       1.770000e+03,       2.673121e+02,       2.661412e+02,       8.582438e-02,       4.900141e-04,       2.737201e-16        
2.434569e+09,       1.760000e+03,       2.673121e+02,       2.661485e+02,       8.164226e-02,       4.612095e-04,       2.418102e-16        
2.549923e+09,       1.750000e+03,       2.673121e+02,       2.661555e+02,       7.770485e-02,       4.342599e-04,       2.142529e-16        
2.666610e+09,       1.740000e+03,       2.673121e+02,       2.661620e+02,       7.400429e-02,       4.090802e-04,       1.904830e-16        
2.784660e+09,       1.730000e+03,       2.673121e+02,       2.661681e+02,       7.053306e-02,       3.855893e-04,       1.700103e-16        
2.904107e+09,       1.720000e+03,       2.673121e+02,       2.661738e+02,       6.728401e-02,       3.637090e-04,       1.524107e-16        
