time (s),           Tsurf (K),          Psurf (bar),        PH2O (bar),         PH2 (bar),          PCO (bar),          PCH4 (bar)          
0.000000e+00,       2.000000e+03,       2.671794e+02,       2.656657e+02,       3.338758e-01,       2.324279e-03,       1.427013e-14        
9.054753e+07,       1.990000e+03,       2.671794e+02,       2.656657e+02,       3.338758e-01,       2.324279e-03,       1.427013e-14        
1.819145e+08,       1.980000e+03,       2.671794e+02,       2.656866e+02,       3.226077e-01,       2.228440e-03,       1.321160e-14        
2.741134e+08,       1.970000e+03,       2.671794e+02,       2.657064e+02,       3.119117e-01,       2.137629e-03,       1.226908e-14        
3.671598e+08,       1.960000e+03,       2.671794e+02,       2.657253e+02,       3.017768e-01,       2.051689e-03,       1.143200e-14        
4.610695e+08,       1.950000e+03,       2.671794e+02,       2.657430e+02,       2.921921e-01,       1.970468e-03,       1.069091e-14        
5.558588e+08,       1.940000e+03,       2.671794e+02,       2.657598e+02,       2.831470e-01,       1.893814e-03,       1.003744e-14        
6.515446e+08,       1.930000e+03,       2.671794e+02,       2.657756e+02,       2.746307e-01,       1.821577e-03,       9.464175e-15        
7.481442e+08,       1.920000e+03,       2.671794e+02,       2.657905e+02,       2.666327e-01,       1.753611e-03,       8.964627e-15        
8.456752e+08,       1.910000e+03,       2.671794e+02,       2.658044e+02,       2.591420e-01,       1.689765e-03,       8.533119e-15        
9.441560e+08,       1.900000e+03,       2.671794e+02,       2.658175e+02,       2.521474e-01,       1.629890e-03,       8.164746e-15        
1.043605e+09,       1.890000e+03,       2.671794e+02,       2.658296e+02,       2.456371e-01,       1.573834e-03,       7.855317e-15        
1.144043e+09,       1.880000e+03,       2.671794e+02,       2.658409e+02,       2.395988e-01,       1.521444e-03,       7.601303e-15        
1.245488e+09,       1.870000e+03,       2.671794e+02,       2.658514e+02,       2.340189e-01,       1.472560e-03,       7.399790e-15        
1.347962e+09,       1.860000e+03,       2.671794e+02,       2.658610e+02,       2.288830e-01,       1.427020e-03,       7.248446e-15        
